Código,Município,Código TI,Território de Identidade,QtMédicosSUS,QtMédicosNãoSUS,QtEnfermeirosSUS,QtEnfermeirosNãoSUS,QtProfissionais,QtMédicos,QtEnfermeiros,QtSUS,QtNãoSUS,LogQtMédicosSUS,LogQtMédicosNãoSUS,LogQtEnfermeirosSUS,LogQtEnfermeirosNãoSUS,LogQtProfissionais,LogQtMédicos,LogQtEnfermeiros,LogQtSUS,LogQtNãoSUS
2907004,Cardeal da Silva,18,Litoral Norte e Agreste Baiano,6,0,4,0,10,6,4,10,0,"0,7781512504",-1,"0,6020599913",-1,1,"0,7781512504","0,6020599913",1,-1
2907103,Carinhanha,2,Velho Chico,15,3,17,0,35,18,17,32,3,"1,1760912591","0,4771212547","1,2304489214",-1,"1,5440680444","1,2552725051","1,2304489214","1,5051499783","0,4771212547"
2907202,Casa Nova,10,Sertão do São Francisco,35,1,27,0,63,36,27,62,1,"1,5440680444",0,"1,4313637642",-1,"1,7993405495","1,5563025008","1,4313637642","1,7923916895",0
2907301,Castro Alves,21,Recôncavo,16,2,29,0,47,18,29,45,2,"1,2041199827","0,3010299957","1,4623979979",-1,"1,6720978579","1,2552725051","1,4623979979","1,6532125138","0,3010299957"
2907400,Catolândia,11,Bacia do Rio Grande,1,0,4,0,5,1,4,5,0,0,-1,"0,6020599913",-1,"0,6989700043",0,"0,6020599913","0,6989700043",-1
2907509,Catu,18,Litoral Norte e Agreste Baiano,26,27,34,11,98,53,45,60,38,"1,414973348","1,4313637642","1,531478917","1,0413926852","1,9912260757","1,7242758696","1,6532125138","1,7781512504","1,5797835966"
2907558,Caturama,12,Bacia do Paramirim,4,0,12,0,16,4,12,16,0,"0,6020599913",-1,"1,079181246",-1,"1,2041199827","0,6020599913","1,079181246","1,2041199827",-1
2907608,Central,1,Irecê,7,0,12,0,19,7,12,19,0,"0,84509804",-1,"1,079181246",-1,"1,278753601","0,84509804","1,079181246","1,278753601",-1
2907707,Chorrochó,24,Itaparica,5,0,15,0,20,5,15,20,0,"0,6989700043",-1,"1,1760912591",-1,"1,3010299957","0,6989700043","1,1760912591","1,3010299957",-1
2907806,Cícero Dantas,17,Semiárido Nordeste II,13,5,24,0,42,18,24,37,5,"1,1139433523","0,6989700043","1,3802112417",-1,"1,6232492904","1,2552725051","1,3802112417","1,5682017241","0,6989700043"
2907905,Cipó,17,Semiárido Nordeste II,8,0,15,0,23,8,15,23,0,"0,903089987",-1,"1,1760912591",-1,"1,361727836","0,903089987","1,1760912591","1,361727836",-1
2908002,Coaraci,5,Litoral Sul,12,2,23,0,37,14,23,35,2,"1,079181246","0,3010299957","1,361727836",-1,"1,5682017241","1,1461280357","1,361727836","1,5440680444","0,3010299957"
2908101,Cocos,23,Bacia do Rio Corrente,12,0,14,0,26,12,14,26,0,"1,079181246",-1,"1,1461280357",-1,"1,414973348","1,079181246","1,1461280357","1,414973348",-1
2908200,Conceição da Feira,19,Portal do Sertão,14,1,18,1,34,15,19,32,2,"1,1461280357",0,"1,2552725051",0,"1,531478917","1,1760912591","1,278753601","1,5051499783","0,3010299957"
2908309,Conceição do Almeida,21,Recôncavo,15,0,17,0,32,15,17,32,0,"1,1760912591",-1,"1,2304489214",-1,"1,5051499783","1,1760912591","1,2304489214","1,5051499783",-1
2908408,Conceição do Coité,4,Sisal,33,26,46,5,110,59,51,79,31,"1,5185139399","1,414973348","1,6627578317","0,6989700043","2,0413926852","1,7708520116","1,7075701761","1,8976270913","1,4913616938"
2908507,Conceição do Jacuípe,19,Portal do Sertão,39,12,28,1,80,51,29,67,13,"1,591064607","1,079181246","1,4471580313",0,"1,903089987","1,7075701761","1,4623979979","1,8260748027","1,1139433523"
2908606,Conde,18,Litoral Norte e Agreste Baiano,14,0,16,0,30,14,16,30,0,"1,1461280357",-1,"1,2041199827",-1,"1,4771212547","1,1461280357","1,2041199827","1,4771212547",-1
2908705,Condeúba,20,Sudoeste Baiano,10,3,26,0,39,13,26,36,3,1,"0,4771212547","1,414973348",-1,"1,591064607","1,1139433523","1,414973348","1,5563025008","0,4771212547"
