country,year,pop,continent,lifeExp,gdpPercap
Ibititá,2007,1,Irecê,1,2913101
Ibotirama,2007,5,Velho Chico,2,2913200
Ichu,2007,2,Sisal,4,2913309
Igaporã,2007,6,Velho Chico,2,2913408
Igrapiúna,2007,5,Baixo Sul,6,2913457
Iguaí,2007,6,Médio Sudoeste da Bahia,8,2913507
Ilhéus,2007,20,Litoral Sul,5,2913606
Inhambupe,2007,4,Litoral Norte e Agreste Baiano,18,2913705
Ipecaetá,2007,4,Portal do Sertão,19,2913804
Ipiaú,2007,2,Médio Rio de Contas,22,2913903
Ipirá,2007,6,Bacia do Jacuípe,15,2914000
Ipupiara,2007,1,Irecê,1,2914109
Irajuba,2007,3,Vale do Jiquiriçá,9,2914208
Iramaia,2007,3,Chapada Diamantina,3,2914307
Iraquara,2007,6,Chapada Diamantina,3,2914406
Irará,2007,3,Portal do Sertão,19,2914505
Irecê,2007,16,Irecê,1,2914604
Itabela,2007,8,Costa do Descobrimento,27,2914653
Itaberaba,2007,7,Piemonte do Paraguaçu,14,2914703
Itabuna,2007,24,Litoral Sul,5,2914802
Itacaré,2007,3,Litoral Sul,5,2914901
Itaetê,2007,6,Chapada Diamantina,3,2915007
Itagi,2007,6,Médio Rio de Contas,22,2915106
Itagibá,2007,1,Médio Rio de Contas,22,2915205
Itagimirim,2007,3,Costa do Descobrimento,27,2915304
Itaguaçu da Bahia,2007,4,Irecê,1,2915353
Itaju do Colônia,2007,2,Litoral Sul,5,2915403
Itajuípe,2007,4,Litoral Sul,5,2915502
Itamaraju,2007,20,Extremo Sul,7,2915601
Itamari,2007,1,Médio Rio de Contas,22,2915700
Itambé,2007,4,Médio Sudoeste da Bahia,8,2915809
Itanagra,2007,2,Litoral Norte e Agreste Baiano,18,2915908
Itanhém,2007,6,Extremo Sul,7,2916005
Itaparica,2007,6,Metropolitano de Salvador,26,2916104
Itapé,2007,4,Litoral Sul,5,2916203
Itapebi,2007,4,Costa do Descobrimento,27,2916302
Itapetinga,2007,8,Médio Sudoeste da Bahia,8,2916401
Itapicuru,2007,6,Litoral Norte e Agreste Baiano,18,2916500
Itapitanga,2007,3,Litoral Sul,5,2916609
Itaquara,2007,3,Vale do Jiquiriçá,9,2916708
Itarantim,2007,4,Médio Sudoeste da Bahia,8,2916807
Itatim,2007,6,Piemonte do Paraguaçu,14,2916856
Itiruçu,2007,5,Vale do Jiquiriçá,9,2916906
Itiúba,2007,4,Sisal,4,2917003
Itororó,2007,3,Médio Sudoeste da Bahia,8,2917102
Ituaçu,2007,7,Sertão Produtivo,13,2917201
Ituberá,2007,6,Baixo Sul,6,2917300
Iuiu,2007,2,Sertão Produtivo,13,2917334
Jaborandi,2007,2,Bacia do Rio Corrente,23,2917359
Jacaraci,2007,5,Sudoeste Baiano,20,2917409
Jacobina,2007,15,Piemonte da Diamantina,16,2917508
Jaguaquara,2007,12,Vale do Jiquiriçá,9,2917607
Jaguarari,2007,3,Piemonte Norte do Itapicuru,25,2917706
Jaguaripe,2007,3,Baixo Sul,6,2917805
Jandaíra,2007,0,Litoral Norte e Agreste Baiano,18,2917904
Jequié,2007,22,Médio Rio de Contas,22,2918001
Jeremoabo,2007,8,Semiárido Nordeste II,17,2918100
Jiquiriçá,2007,2,Vale do Jiquiriçá,9,2918209
Jitaúna,2007,4,Médio Rio de Contas,22,2918308
João Dourado,2007,3,Irecê,1,2918357
Juazeiro,2007,50,Sertão do São Francisco,10,2918407
Jucuruçu,2007,2,Extremo Sul,7,2918456
Jussara,2007,1,Irecê,1,2918506
Jussari,2007,3,Litoral Sul,5,2918555
Jussiape,2007,3,Chapada Diamantina,3,2918605
Lafayette Coutinho,2007,2,Vale do Jiquiriçá,9,2918704
Lagoa Real,2007,5,Sertão Produtivo,13,2918753
Laje,2007,7,Vale do Jiquiriçá,9,2918803
Lajedão,2007,1,Extremo Sul,7,2918902
Lajedinho,2007,1,Piemonte do Paraguaçu,14,2919009
Lajedo do Tabocal,2007,2,Vale do Jiquiriçá,9,2919058
Lamarão,2007,4,Sisal,4,2919108
Lapão,2007,3,Irecê,1,2919157
Lauro de Freitas,2007,17,Metropolitano de Salvador,26,2919207
Lençóis,2007,3,Chapada Diamantina,3,2919306
Licínio de Almeida,2007,4,Sudoeste Baiano,20,2919405
Livramento de Nossa Senhora,2007,6,Sertão Produtivo,13,2919504
Luís Eduardo Magalhães,2007,3,Bacia do Rio Grande,11,2919553
Macajuba,2007,2,Piemonte do Paraguaçu,14,2919603
Macarani,2007,3,Médio Sudoeste da Bahia,8,2919702
Macaúbas,2007,7,Bacia do Paramirim,12,2919801
Macururé,2007,4,Itaparica,24,2919900
Madre de Deus,2007,5,Metropolitano de Salvador,26,2919926
Maetinga,2007,4,Sudoeste Baiano,20,2919959
Maiquinique,2007,1,Médio Sudoeste da Bahia,8,2920007
Mairi,2007,6,Bacia do Jacuípe,15,2920106
Malhada,2007,3,Velho Chico,2,2920205
Malhada de Pedras,2007,2,Sertão Produtivo,13,2920304
